# AGCNr    HIra         HIdec       v21     redshift               dist    w50   flux   snratio   loghimass   groupid   gra            gdec          gz           Mhalo_L   Mhalo_M   ngal   r180L                d_A_mpc              r180_arcmin          galid    ra              dec            z           MASS           
  221084   193.213745   27.400555   7735    0.02578333333333333    114.4   136   0.97   8.3       9.48        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   106.92668270155566   111.29630688508696   512978   193.203749412   27.40183434    0.0257795   3.15013043E9   
  8017     193.225006   28.374445   7061    0.023536666666666668   133.7   559   3.67   16.0      10.19       1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   98.07974688420032    121.33539563685109   520960   193.223287464   28.371261621   0.0235802   2.71489024E10  
  221130   194.115417   27.289165   7476    0.02492                72.8    90    0.68   7.8       8.93        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   104.08080530617812   114.33947745838834   513006   194.119067302   27.291262261   0.025071    8.3244759E9    
  221206   194.537491   28.702501   7619    0.025396666666666668   63.7    280   1.45   8.9       9.14        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   105.27586990644966   113.0415251161708    503069   194.538464146   28.708561081   0.0253684   1.47128668E10  
  222592   194.668732   26.757223   7449    0.02483                104.0   185   1.32   10.9      9.53        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   103.20797822552046   115.3064433270139    512233   194.666466454   26.759526811   0.0248539   4.63678208E8   
  8118     195.165405   29.020277   7281    0.02427                98.6    388   1.07   6.5       9.39        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   100.76120822101348   118.10641319478374   468062   195.164785362   29.019406514   0.0242458   2.83380367E10  
  8128     195.229172   27.788055   8036    0.026786666666666667   104.0   404   1.77   7.4       9.65        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   110.19388420672126   107.99641901933053   520541   195.233578026   27.790849806   0.0265941   8.2562171E10   
  8161     195.875412   26.543333   6672    0.02224                100.9   369   3.99   21.5      9.98        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   92.10484662329671    129.2065002923155    519308   195.871153336   26.550495605   0.0221002   1.75531561E10  
  725318   195.977493   28.31111    8017    0.026723333333333335   104.0   154   1.71   17.7      9.64        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   110.82338531086752   107.38297570295998   521036   195.976769088   28.310549045   0.0267512   8.3706848E8    
  732488   195.98584    26.733055   6584    0.021946666666666666   97.9    148   0.93   8.3       9.32        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   91.86589502425225    129.54257822247266   512262   195.987982277   26.729474714   0.0220411   2.18195424E8   
  234248   196.160828   28.966112   7600    0.025333333333333333   104.0   179   0.98   8.7       9.4         1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   105.06816972443741   113.26498713519283   468095   196.16160469    28.972679503   0.0253167   6.070967E8     
  732355   193.280411   28.25       7057    0.023523333333333334   104.7   92    0.49   5.6       9.1         1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   97.51126126477533    122.04277472981038   514565   193.281351057   28.241254501   0.0234392   2.1722088E8    
  227589   193.751678   27.481112   6864    0.02288                104.0   98    0.47   5.3       9.08        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   96.60660277179485    123.18562655875866   519942   193.753482817   27.483375817   0.0232149   2.81256013E9   
  221132   194.123337   27.933332   6576    0.02192                130.0   279   0.7    4.9       9.45        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   92.23138678524728    129.02923079608505   520403   194.124217881   27.93999381    0.0221315   1.62765537E10  
  221174   194.383743   26.508333   7314    0.02438                104.0   114   0.53   5.6       9.13        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   100.2957477940504    118.65453076429034   511487   194.380002093   26.512150135   0.0241302   1.23812127E10  
  221214   194.588745   27.309444   7399    0.024663333333333332   104.0   253   0.77   4.9       9.29        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   102.67670347233549   115.90306748953097   513019   194.577604278   27.310807821   0.0247218   2.41363174E9   
  725242   194.625412   27.001389   7471    0.024903333333333333   104.0   114   0.56   5.1       9.15        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   103.24175639453667   115.26871788851523   519708   194.628520813   26.994941165   0.0248623   9.9654368E7    
  221262   194.772919   27.654999   5325    0.01775                78.5    32    0.27   5.0       8.59        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   75.90120682873105    156.78992982298567   513843   194.772096631   27.644403858   0.0181256   4.3067679E9    
  725306   195.608749   28.8575     6692    0.022306666666666666   104.0   243   0.75   6.1       9.28        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   93.05714389031807    127.88426975776575   472069   195.606873943   28.858062196   0.0223358   2.47214912E8   
  725326   196.144577   28.629168   6703    0.022343333333333333   104.0   71    0.36   4.6       8.96        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   93.18039307044047    127.71511795577366   467540   196.149026231   28.627733741   0.0223663   1.61761254E9   
  230096   196.804169   28.046944   7314    0.02438                104.0   76    0.34   5.2       8.94        1         194.80715229   27.92766501   0.02378204   15.0375   14.9413   651    3.4617281858254536   101.19114230985892   117.60461064581939   514720   196.805022768   28.04694338    0.0243526   6.1417334E9    
  252414   239.418747   16.118055   11208   0.03736                161.5   221   1.11   6.6       9.83        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   152.73359184994214   69.8008597355455     483725   239.419858794   16.126196315   0.0373197   1.00424868E10  
  251373   239.445419   16.278889   10632   0.03544                113.2   299   1.44   7.1       9.64        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   145.17343108541735   73.43586179588998    477395   239.449052863   16.282303656   0.0353972   3.9764341E10   
  252215   239.505005   16.352222   10864   0.036213333333333333   156.6   248   2.19   11.3      10.1        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   148.20086189572893   71.93572213584481    490954   239.511593577   16.347589126   0.0361662   3.08883599E10  
  255434   239.549988   16.511667   11022   0.03674                158.9   75    0.81   8.6       9.68        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   150.12875029903554   71.01195474143873    484419   239.550092018   16.501077311   0.0366565   5.5775227E9    
  255438   239.579575   16.538889   10920   0.0364                 157.4   272   1.39   6.8       9.91        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   149.45146443646854   71.33376753331049    484420   239.577506861   16.537796379   0.0364842   3.59149389E9   
  266236   239.996246   16.133888   11001   0.03667                158.5   196   1.02   7.2       9.78        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   150.64589884096296   70.76817957638946    490962   240.002281604   16.127226917   0.0367881   1.99281958E9   
  266239   240.052933   16.245834   9840    0.0328                 141.9   177   1.12   7.9       9.73        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   134.51775887735988   79.25300057476771    490963   240.063852581   16.24343325    0.0326996   6.9530598E8    
  251434   240.15126    15.684167   10708   0.035693333333333334   114.8   214   2.56   18.7      9.9         2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   146.2057821728503    72.91733516407774    490096   240.149041294   15.685630961   0.0356593   6.3035781E10   
